no,token,pos,actual_label,predicted_label,sent_no,token_no,sent
1,Αἰγύπτιά,A-,ethnic,0,1,28,τούτους γὰρ ἀπὸ τῆς Ἐρυθρῆς καλεομένης θαλάσσης ἀπικομένους ἐπὶ τήνδε τὴν θάλασσαν καὶ οἰκήσαντας τοῦτον τὸν χῶρον τὸν καὶ νῦν οἰκέουσι αὐτίκα ναυτιλίῃσι μακρῇσι ἐπιθέσθαι ἀπαγινέοντας δὲ φορτία Αἰγύπτιά τε καὶ Ἀσσύρια τῇ τε ἄλλῃ ἐσαπικνέεσθαι καὶ δὴ καὶ ἐς Ἄργος
2,Ἑλλάδι,Ne,place,0,2,12,τὸ δὲ Ἄργος τοῦτον τὸν χρόνον προεῖχε ἅπασι τῶν ἐν τῇ νῦν Ἑλλάδι καλεομένῃ χωρῇ
3,Ἕλληνές,Nb,ethnic,0,3,10,τὸ δέ οἱ οὔνομα εἶναι κατὰ τὸ αὐτὸ τὸ καὶ Ἕλληνές λέγουσι Ἰοῦν τὴν Ἰνάχου
4,Ἕλληνές,Nb,ethnic,0,5,10,οὕτω μὲν Ἰοῦν ἐς Αἴγυπτον ἀπικέσθαι λέγουσι Πέρσαι οὐκ ὡς Ἕλληνές καὶ τῶν ἀδικημάτων πρῶτον τοῦτο ἄρξαι
5,Ἀσίης,Ne,place,0,13,6,σφέας μὲν δὴ τοὺς ἐκ τῆς Ἀσίης λέγουσι Πέρσαι ἁρπαζομενέων τῶν γυναικῶν λόγον οὐδένα ποιήσασθαι Ἕλληνας δὲ Λακεδαιμονίης εἵνεκεν γυναικὸς στόλον μέγαν συναγεῖραι καὶ ἔπειτα ἐλθόντας ἐς τὴν Ἀσίην τὴν Πριάμου δύναμιν κατελεῖν
6,Ἀσίην,Ne,place,0,13,28,σφέας μὲν δὴ τοὺς ἐκ τῆς Ἀσίης λέγουσι Πέρσαι ἁρπαζομενέων τῶν γυναικῶν λόγον οὐδένα ποιήσασθαι Ἕλληνας δὲ Λακεδαιμονίης εἵνεκεν γυναικὸς στόλον μέγαν συναγεῖραι καὶ ἔπειτα ἐλθόντας ἐς τὴν Ἀσίην τὴν Πριάμου δύναμιν κατελεῖν
7,Ἀσίην,Ne,place,0,14,2,τὴν γὰρ Ἀσίην καὶ τὰ ἐνοικέοντα ἔθνεα βάρβαρα οἰκηιεῦνται οἱ Πέρσαι
8,Ἕλληνας,Nb,ethnic,0,19,10,τὸν δὲ οἶδα αὐτὸς πρῶτον ὑπάρξαντα ἀδίκων ἔργων ἐς τοὺς Ἕλληνας τοῦτον σημήνας προβήσομαι ἐς τὸ πρόσω τοῦ λόγου ὁμοίως σμικρὰ καὶ μεγάλα ἄστεα ἀνθρώπων ἐπεξιών
9,Ἕλληνές,Nb,ethnic,0,23,4,ἦν Κανδαύλης τὸν οἱ Ἕλληνές Μυρσίλον ὀνομάζουσι τύραννος Σαρδίων ἀπόγονος δὲ Ἀλκαίου τοῦ Ἡρακλέος
10,Δελφῶν,Nb,place,0,28,12,ὁ δὲ χρυσός οὗτος καὶ ὁ ἄργυρος τὸν ὁ Γύγης ἀνέθηκε ὑπὸ Δελφῶν καλέεται Γυγάδας ἐπὶ τοῦ ἀναθέντος ἐπωνυμίην
